Timestamp,What is your gender?,What is your academic position?,What is your age?,What is your Field of Study? List the closest equivalent if you do not attend TMU.,Are you a computer science student?,Have you used ChatGPT before?,"Pick the option you most agree with: 
Students should be allowed to use ChatGPT as an aid for assignments or tests.","Do you attend Toronto Metropolitan University? If not, list the academic institute you attend.",Pick the option you most agree with: ChatGPT sparks creativity.,"Pick the option you most agree with: 
The usage of ChatGPT to provide direct solutions for academic assignments and tests is a form of plagiarism.","Pick the option you most agree with: 
ChatGPT's responses should not be used as direct solutions to academic assignments and tests.","How do you mainly use ChatGPT? If you do not use it, how do you imagine you would use ChatGPT?",Pick the option you most agree with: Software that can detect if a body of text was generated by an AI (such as GPTZero) is reliable and should be used to detect plagiarism.,"Pick the option you most agree with: Students should be permitted to use ChatGPT as an academic reference, much like academic papers or articles.","Pick the option you most agree with: 
Students who are caught using ChatGPT to provide direct solutions for academic assignments or tests should be penalized in the same way that plagiarism is in post-secondary academic integrity policies.",,"Pick the option you most agree with: Those who are caught using ChatGPT in a non-transformative manner should be punished via the same Academic Integrity Policy that would apply for plagiarism 
- this question is sort of similar to the one that asks if ChatGPT is plagiarism, might delete 
I agree. - Stephen"
3/27/2023 12:16:50,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Disagree,Yes,Strongly agree,Strongly agree,Agree,As a form of entertainment,Neutral,Agree,Agree,,
3/27/2023 12:18:02,Male,Undergraduate Student,18 -24 years old,"Faculty of Arts (English, History, Philosophy, Politics and Governance, Sociology etc.)",No,Yes,Neutral,Yes,Neutral,Neutral,Neutral,"As a general aid for answering questions, solving problems, and looking things up",Neutral,Neutral,Neutral,,
3/27/2023 12:19:05,Female,Undergraduate Student,18 -24 years old,"Faculty of Arts (English, History, Philosophy, Politics and Governance, Sociology etc.)",No,No,Agree,York,Strongly agree,Agree,Agree,As a creativity tool,Neutral,Agree,Agree,,
3/27/2023 12:19:48,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,No,Agree,uoft,Agree,Disagree,Neutral,"As a general aid for answering questions, solving problems, and looking things up",Disagree,Neutral,Agree,,
3/27/2023 12:22:09,Female,Undergraduate Student,18 -24 years old,"Faculty of Arts (English, History, Philosophy, Politics and Governance, Sociology etc.)",No,No,Neutral,OCAD,Neutral,Agree,Neutral,As a creativity tool,Disagree,Agree,Agree,,
3/27/2023 12:23:59,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,Yes,Agree,York University,Agree,Neutral,Agree,"As a general aid for answering questions, solving problems, and looking things up",Neutral,Strongly agree,Agree,,
3/27/2023 12:29:33,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,Yes,Agree,Yes,Agree,Agree,Disagree,"As a general aid for answering questions, solving problems, and looking things up",Neutral,Agree,Neutral,,
3/27/2023 12:39:04,Male,Undergraduate Student,18 -24 years old,"Faculty of Arts (English, History, Philosophy, Politics and Governance, Sociology etc.)",No,Yes,Neutral,York University ,Agree,Agree,Agree,"As a research aid for papers, assignments, and finding scholarly information",Agree,Neutral,Agree,,
3/27/2023 13:03:22,Female,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,Yes,Strongly agree,Queen’s University,Strongly disagree,Disagree,Strongly disagree,All of the above ,Neutral,Strongly disagree,Disagree,,
3/27/2023 13:28:09,Female,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,No,Disagree,Queen’s University,Agree,Agree,Agree,"As a general aid for answering questions, solving problems, and looking things up",Neutral,Disagree,Neutral,,
3/27/2023 13:29:22,Female,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,Yes,Agree,queens u,Strongly agree,Agree,Neutral,"As a research aid for papers, assignments, and finding scholarly information",Neutral,Neutral,Neutral,,
3/27/2023 13:29:30,Female,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,Yes,Agree,Queens ,Disagree,Agree,Agree,"As a general aid for answering questions, solving problems, and looking things up",Disagree,Disagree,Disagree,,
3/27/2023 13:32:08,Female,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,No,Neutral,Queen’s,Disagree,Neutral,Agree,"As a general aid for answering questions, solving problems, and looking things up",Neutral,Agree,Agree,,
3/27/2023 14:08:48,Female,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,Yes,Neutral,Queen’s University ,Disagree,Agree,Agree,"As a general aid for answering questions, solving problems, and looking things up",Neutral,Disagree,Agree,,
3/27/2023 18:43:05,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,Yes,Disagree,McMaster,Strongly agree,Agree,Neutral,"As a general aid for answering questions, solving problems, and looking things up",Disagree,Agree,Neutral,,
3/27/2023 18:49:25,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,No,Neutral,Wilfrid Laurier university ,Agree,Agree,Disagree,"As a general aid for answering questions, solving problems, and looking things up",Agree,Agree,Disagree,,
3/27/2023 19:16:46,Female,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,No,Disagree,University Of Toronto,Neutral,Strongly agree,Disagree,As a form of entertainment,Strongly agree,Neutral,Strongly agree,,
3/27/2023 19:20:35,Female,Undergraduate Student,18 -24 years old,"Faculty of Community Services (Occupational Health and Safety, Public Health etc.)",No,No,Agree,McMaster,Agree,Strongly agree,Neutral,As a creativity tool,Neutral,Neutral,Strongly agree,,
3/27/2023 19:48:26,Male,Undergraduate Student,18 -24 years old,"Faculty of Arts (English, History, Philosophy, Politics and Governance, Sociology etc.)",No,No,Disagree,University of Washington Bothell,Disagree,Strongly agree,Agree,As a form of entertainment,Agree,Disagree,Strongly agree,,
3/27/2023 19:49:15,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,Yes,Strongly disagree,Charles University,Agree,Disagree,Strongly agree,As a form of entertainment,Disagree,Strongly disagree,Strongly agree,,
3/27/2023 19:50:53,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,Yes,Agree,University of Waterloo,Agree,Agree,Strongly agree,As a form of entertainment,Disagree,Agree,Agree,,
3/27/2023 20:05:25,Male,Undergraduate Student,18 -24 years old,"Faculty of Engineering and Architectural Science (Aerospace Engineering, Architectural Science etc.)",No,Yes,Agree,Middlesex Community College,Agree,Disagree,Strongly agree,As a creativity tool,Disagree,Neutral,Agree,,
3/27/2023 20:18:55,Male,Professor,35 - 44 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,Yes,Agree,Yes,Agree,Strongly agree,Agree,"As a general aid for answering questions, solving problems, and looking things up",Neutral,Neutral,Strongly agree,,
3/27/2023 20:36:22,Male,Undergraduate Student,18 -24 years old,"Faculty of Engineering and Architectural Science (Aerospace Engineering, Architectural Science etc.)",No,No,Agree,UCF,Agree,Disagree,Agree,As a form of entertainment,Strongly disagree,Strongly disagree,Disagree,,
3/27/2023 20:39:15,Male,Undergraduate Student,18 -24 years old,"Faculty of Arts (English, History, Philosophy, Politics and Governance, Sociology etc.)",No,Yes,Strongly agree,University of Waterloo,Strongly disagree,Agree,Strongly agree,"As a general aid for answering questions, solving problems, and looking things up",Agree,Agree,Disagree,,
3/27/2023 20:39:37,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,No,Agree,Drexel University,Neutral,Agree,Strongly agree,As a form of entertainment,Agree,Strongly disagree,Strongly agree,,
3/27/2023 20:45:11,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Agree,Drexel University,Agree,Agree,Strongly agree,As a creativity tool,Strongly agree,Disagree,Agree,,
3/27/2023 21:10:18,Prefer not to say,Undergraduate Student,18 -24 years old,"Faculty of Engineering and Architectural Science (Aerospace Engineering, Architectural Science etc.)",Yes,Yes,Strongly agree,Uruguay engineering university,Agree,Strongly agree,Strongly agree,As a form of entertainment,Strongly agree,Strongly agree,Strongly agree,,
3/27/2023 21:14:50,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Agree,Facultad de Ingeniería - Universidad de la República. Montevideo - Uruguay,Strongly agree,Agree,Neutral,"Only for getting concepts and ideas, with further investigation and fact-checking",Neutral,Neutral,Strongly agree,,
3/27/2023 23:40:08,Female,Undergraduate Student,18 -24 years old,"Faculty of Arts (English, History, Philosophy, Politics and Governance, Sociology etc.)",No,Yes,Strongly disagree,I prefer to keep it private. :) ,Strongly disagree,Strongly agree,Strongly agree,"I don't, and believe in highly restricted AI",Neutral,Strongly disagree,Strongly agree,,
3/27/2023 23:41:52,Male,Undergraduate Student,18 -24 years old,"Ted Rogers School of Management (Accounting, Business Management, Hospitality etc.)",No,Yes,Strongly disagree,SIU,Agree,Agree,Strongly agree,As a form of entertainment,Neutral,Strongly agree,Agree,,
3/28/2023 4:33:18,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Neutral,"IIT Indore, India",Neutral,Strongly agree,Strongly agree,As a form of entertainment,Neutral,Neutral,Strongly agree,,
3/28/2023 10:22:37,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,Yes,Strongly disagree,University of Illinois at Urbana-Champaign,Agree,Agree,Strongly agree,"As a general aid for answering questions, solving problems, and looking things up",Neutral,Strongly disagree,Agree,,
3/28/2023 22:12:47,Male,Undergraduate Student,18 -24 years old,"Faculty of Arts (English, History, Philosophy, Politics and Governance, Sociology etc.)",No,Yes,Disagree,University of Toronto,Neutral,Agree,Strongly agree,"As a general aid for answering questions, solving problems, and looking things up",Agree,Disagree,Agree,,
3/28/2023 22:53:42,Male,CEGEP student (Quebec system),18 -24 years old,"Faculty of Arts (English, History, Philosophy, Politics and Governance, Sociology etc.)",No,No,Disagree,LaSalle College (Montreal),Agree,Agree,Strongly agree,As a form of entertainment,Neutral,Strongly disagree,Strongly agree,,
3/29/2023 11:33:51,Male,Staff/TA,25 - 34 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Strongly disagree,Yes,Agree,Strongly agree,Strongly agree,"As a general aid for answering questions, solving problems, and looking things up",Strongly agree,Disagree,Strongly agree,,
3/29/2023 15:03:13,Female,Undergraduate Student,18 -24 years old,"Faculty of Community Services (Occupational Health and Safety, Public Health etc.)",No,Yes,Agree,Yes,Disagree,Neutral,Disagree,"As a research aid for papers, assignments, and finding scholarly information",Strongly disagree,Strongly agree,Disagree,,
3/29/2023 15:16:12,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Disagree,Yes,Agree,Strongly agree,Strongly agree,As a creativity tool,Disagree,Strongly disagree,Agree,,
3/30/2023 0:39:03,Female,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Disagree,Yes,Disagree,Agree,Strongly disagree,"As a general aid for answering questions, solving problems, and looking things up",Disagree,Agree,Neutral,,
3/30/2023 0:59:34,Female,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Disagree,Yes,Neutral,Agree,Agree,"As a general aid for answering questions, solving problems, and looking things up",Neutral,Agree,Agree,,
3/30/2023 1:25:13,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Neutral,Yes,Agree,Agree,Agree,"As a general aid for answering questions, solving problems, and looking things up",Strongly agree,Disagree,Neutral,,
3/30/2023 6:22:58,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Agree,Yes,Agree,Neutral,Agree,As a creativity tool,Neutral,Agree,Agree,,
3/30/2023 7:51:34,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Agree,Yes,Agree,Strongly agree,Strongly agree,"As a general aid for answering questions, solving problems, and looking things up",Neutral,Agree,Strongly agree,,
3/30/2023 14:35:05,Female,Undergraduate Student,18 -24 years old,"Faculty of Community Services (Occupational Health and Safety, Public Health etc.)",No,No,Strongly agree,uoft,Strongly agree,Neutral,Agree,"As a general aid for answering questions, solving problems, and looking things up",Neutral,Disagree,Neutral,,
3/30/2023 14:36:45,Other,Undergraduate Student,18 -24 years old,"Ted Rogers School of Management (Accounting, Business Management, Hospitality etc.)",No,Yes,Agree,Yes,Strongly agree,Neutral,Neutral,As a creativity tool,Neutral,Strongly agree,Neutral,,
3/30/2023 14:45:11,Male,Undergraduate Student,18 -24 years old,"Faculty of Community Services (Occupational Health and Safety, Public Health etc.)",No,No,Strongly agree,York,Neutral,Neutral,Strongly agree,"As a research aid for papers, assignments, and finding scholarly information",Disagree,Strongly agree,Disagree,,
3/30/2023 14:50:03,Other,Undergraduate Student,18 -24 years old,"Ted Rogers School of Management (Accounting, Business Management, Hospitality etc.)",No,No,Neutral,Yes,Neutral,Neutral,Neutral,As a creativity tool,Neutral,Neutral,Neutral,,
3/30/2023 14:52:15,Female,Undergraduate Student,18 -24 years old,"Faculty of Arts (English, History, Philosophy, Politics and Governance, Sociology etc.)",No,Yes,Strongly agree,Yes,Strongly agree,Neutral,Strongly agree,"As a research aid for papers, assignments, and finding scholarly information",Disagree,Neutral,Disagree,,
3/30/2023 15:01:19,Female,Undergraduate Student,18 -24 years old,"Faculty of Community Services (Occupational Health and Safety, Public Health etc.)",No,No,Agree,Yes,Agree,Neutral,Neutral,As a creativity tool,Disagree,Agree,Neutral,,
3/30/2023 15:07:00,Male,Undergraduate Student,18 -24 years old,"Faculty of Community Services (Occupational Health and Safety, Public Health etc.)",No,Yes,Neutral,Yes,Neutral,Agree,Neutral,"As a research aid for papers, assignments, and finding scholarly information",Neutral,Neutral,Agree,,
3/30/2023 15:09:00,Other,Undergraduate Student,18 -24 years old,"Faculty of Engineering and Architectural Science (Aerospace Engineering, Architectural Science etc.)",No,Yes,Agree,Yes,Strongly agree,Neutral,Neutral,"As a research aid for papers, assignments, and finding scholarly information",Disagree,Strongly agree,Neutral,,
3/30/2023 15:10:43,Male,Undergraduate Student,18 -24 years old,"Faculty of Community Services (Occupational Health and Safety, Public Health etc.)",No,Yes,Strongly agree,Yes,Strongly agree,Neutral,Strongly agree,As a creativity tool,Neutral,Strongly agree,Disagree,,
3/30/2023 15:14:09,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Agree,Yes,Agree,Neutral,Agree,"As a general aid for answering questions, solving problems, and looking things up",Neutral,Agree,Neutral,,
3/30/2023 15:30:33,Female,Undergraduate Student,18 -24 years old,"Ted Rogers School of Management (Accounting, Business Management, Hospitality etc.)",No,Yes,Agree,York,Agree,Neutral,Agree,As a form of entertainment,Disagree,Agree,Neutral,,
3/30/2023 15:32:51,Male,Undergraduate Student,18 -24 years old,"Ted Rogers School of Management (Accounting, Business Management, Hospitality etc.)",No,No,Disagree,Yes,Strongly agree,Agree,Disagree,"As a research aid for papers, assignments, and finding scholarly information",Neutral,Strongly agree,Agree,,
3/30/2023 15:37:18,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Disagree,Yes,Agree,Strongly agree,Strongly agree,"As a general aid for answering questions, solving problems, and looking things up",Disagree,Agree,Strongly agree,,
3/30/2023 15:38:38,Male,Undergraduate Student,18 -24 years old,"Faculty of Community Services (Occupational Health and Safety, Public Health etc.)",No,Yes,Strongly disagree,Yes,Strongly agree,Agree,Strongly agree,As a form of entertainment,Agree,Disagree,Strongly agree,,
3/30/2023 15:41:34,Male,Undergraduate Student,18 -24 years old,"Ted Rogers School of Management (Accounting, Business Management, Hospitality etc.)",No,Yes,Strongly agree,Yes,Agree,Neutral,Agree,"As a general aid for answering questions, solving problems, and looking things up",Agree,Strongly agree,Neutral,,
3/30/2023 15:42:25,Female,Undergraduate Student,18 -24 years old,"Ted Rogers School of Management (Accounting, Business Management, Hospitality etc.)",No,Yes,Agree,Yes,Strongly agree,Neutral,Agree,"As a general aid for answering questions, solving problems, and looking things up",Neutral,Strongly agree,Neutral,,
3/30/2023 15:43:20,Other,Undergraduate Student,18 -24 years old,"Faculty of Community Services (Occupational Health and Safety, Public Health etc.)",No,Yes,Agree,uwaterloo,Neutral,Disagree,Neutral,"As a research aid for papers, assignments, and finding scholarly information",Agree,Neutral,Strongly disagree,,
3/30/2023 15:43:24,Male,Undergraduate Student,18 -24 years old,"Ted Rogers School of Management (Accounting, Business Management, Hospitality etc.)",No,Yes,Strongly agree,Queen’s,Agree,Neutral,Agree,As a creativity tool,Agree,Strongly agree,Disagree,,
3/30/2023 15:43:37,Male,Undergraduate Student,18 -24 years old,"Faculty of Arts (English, History, Philosophy, Politics and Governance, Sociology etc.)",No,Yes,Strongly disagree,Yes,Disagree,Strongly agree,Strongly agree,As a form of entertainment,Strongly agree,Strongly disagree,Strongly agree,,
3/30/2023 15:44:34,Prefer not to say,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Agree,Yes,Strongly agree,Agree,Neutral,"As a research aid for papers, assignments, and finding scholarly information",Strongly disagree,Agree,Agree,,
3/30/2023 15:44:42,Male,Undergraduate Student,18 -24 years old,"Faculty of Engineering and Architectural Science (Aerospace Engineering, Architectural Science etc.)",No,Yes,Strongly agree,Yes,Agree,Strongly agree,Strongly agree,"As a general aid for answering questions, solving problems, and looking things up",Disagree,Strongly agree,Disagree,,
3/30/2023 15:57:29,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Strongly agree,Yes,Strongly agree,Disagree,Strongly agree,"As a research aid for papers, assignments, and finding scholarly information",Disagree,Strongly agree,Disagree,,
3/30/2023 16:12:42,Female,Undergraduate Student,18 -24 years old,"Faculty of Arts (English, History, Philosophy, Politics and Governance, Sociology etc.)",No,No,Strongly agree,Yes,Agree,Disagree,Strongly agree,"As a research aid for papers, assignments, and finding scholarly information",Strongly disagree,Agree,Disagree,,
3/30/2023 16:32:55,Male,Undergraduate Student,18 -24 years old,"Ted Rogers School of Management (Accounting, Business Management, Hospitality etc.)",No,Yes,Strongly agree,Yes,Neutral,Neutral,Strongly agree,As a creativity tool,Disagree,Neutral,Neutral,,
3/30/2023 16:33:29,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Strongly agree,Yes,Agree,Strongly disagree,Strongly agree,"As a research aid for papers, assignments, and finding scholarly information",Disagree,Agree,Strongly disagree,,
3/30/2023 16:35:02,Male,Undergraduate Student,18 -24 years old,"Ted Rogers School of Management (Accounting, Business Management, Hospitality etc.)",No,Yes,Disagree,Yes,Neutral,Strongly agree,Disagree,As a form of entertainment,Neutral,Neutral,Strongly agree,,
